Ticker,Signal,Price,1d,5d,1mo,3mo,6mo,YTD,1y,RVOL,RSI,ShortRatio,High52,Low52,SMA50,SMA200,BB_Upper,BB_Lower,Is_Squeeze,BB_Width,GC_Just_Now,DC_Just_Now,Above_SMA50
IRDM,🐂🔥🚀,48.84000015258789,6.870895705093355,12.534558607020275,25.359346253303343,105.50598037509849,212.70939489507577,176.66936929967375,99.02767529783351,1.0676496034779859,75.32539868098333,1.97,48.84000015258789,15.618334770202637,36.16419998168945,23.77023247241974,47.74903757298808,35.32596204554219,False,0.29908096501934534,False,False,True
KTOS,🐻,56.18000030517578,2.762030705697387,3.6149004801649816,-8.292520658740822,-38.04587547848831,-16.535429590127737,-29.14617271220883,56.01222694748461,0.6783860134402675,40.19774780645109,2.64,130.72000122070312,36.0099983215332,68.36060020446777,80.69565000534058,64.93553489884924,50.588465650467164,False,0.2483824864125513,False,False,False
MPC,🐂🤐,254.64999389648438,2.5037239480261415,-1.5058523744131513,14.045631258375538,30.893480048612282,36.74505040242047,55.5667498313945,63.1787744047168,0.823381064329985,52.07713926576349,2.52,262.0199890136719,153.93728637695312,237.99759948730468,197.58233169555663,266.28488308138674,230.45192111783203,True,0.144273432774205,False,False,True
JD,🐂,30.520000457763672,-3.01874444333935,-3.4177212362926674,0.825900218762236,14.854859026491397,11.33517856745263,7.037104276769561,-5.223208283307993,0.9976676342908098,52.27703747885449,3.06,34.924903869628906,24.525644302368164,29.591581840515136,29.608257045745848,33.39233992464148,28.53765999906457,False,0.1567795876492033,False,False,True
CRWV,🐂🛒✨,105.48999786376953,-1.9427439409857337,1.657513034927953,-4.221900809558147,6.2336300320004305,52.42016942525337,32.992937808411206,2.6766595845626022,0.6647403340816819,36.63717574299949,1.88,183.5800018310547,64.55000305175781,101.86769958496093,100.21024986267089,133.45905551221594,93.52944241258874,False,0.3518205853131363,True,False,True
XYZ,🐂🛒🤐,68.08000183105469,-0.8302981531753452,-3.610357527289696,-4.956017811649276,33.49019966873468,9.895078277032733,4.497314254109304,15.900578627344157,0.9620283026931664,40.781851167109934,3.92,81.11000061035156,49.09000015258789,66.21739990234374,67.74480003356933,73.93673035035145,67.65826934447277,True,0.08868195938289453,False,False,True
CZR,🐂,28.469999313354492,2.0430096868017285,3.077474468841058,1.2446602548914978,39.97049704904849,42.99346826491818,20.840407295041988,2.8168969456591633,0.9164242247069952,56.97368034695674,6.05,31.510000228881836,18.139999389648438,27.224799995422362,24.420450038909912,28.902076079963113,26.29392382848415,False,0.09450511833484541,False,False,True
COPX,,83.3499984741211,0.3974968012507723,1.8326206816903754,1.1897483244647915,-10.731502600097906,48.536221850472494,14.084315986015215,107.2353731800384,0.41896807507540107,59.94064919135203,0.0,95.69999694824219,39.82155990600586,80.4268002319336,70.04456253051758,91.56960666751682,74.06939327144802,False,0.21130547036045053,False,False,True
AVGO,🐂🤐,414.1400146484375,-0.10372016021047314,-1.5616403080700647,-2.038980726196492,27.50277662186333,19.89009775469006,19.385760511137228,82.53568837595905,0.7387506419104832,49.00287897871041,2.28,439.7900085449219,226.8816680908203,376.9606414794922,348.894040222168,436.9452647538591,401.23473707719563,True,0.08520968669892302,False,False,True
COO,🐻🤐,62.54999923706055,-0.47732576665705656,2.641943955748509,-2.9028236340221265,-25.1436081084141,-12.037689916775118,-22.882506760728983,-20.65203883780796,0.6401583003540929,55.59174202869016,2.61,84.31999969482422,58.97999954223633,66.56299957275391,73.32905002593994,64.1189048438397,58.577095064607555,True,0.0903339926870853,False,False,False
DASH,🐻🤐,160.25,0.6153046407047228,-1.4876733240212854,-9.35060464613644,-2.5124739993509584,-14.63804205664715,-27.089492290315913,-22.265338469780637,0.9743652905518494,40.38400890278679,3.49,281.739990234375,146.60000610351562,163.56829986572265,210.65974975585937,178.98942308130012,148.3975764304186,True,0.18688492027177445,False,False,False
WELL,🐂🤐🚀,216.1699981689453,0.0740723421037407,1.6744262021418859,3.9080191173685614,4.002668979449387,10.171878313603713,16.442487331966184,47.1436953277786,0.6864329238616232,49.646494241826495,6.02,220.13999938964844,146.9108123779297,208.12062377929686,189.71980003356933,220.45846687534706,209.80728629848105,True,0.049509776217596925,False,False,True
VTR,🐂🤐,88.18000030517578,0.20454580133611508,0.045383385301046006,5.45323775271,2.6789254341915814,11.918958091815554,14.761921168859034,41.304182778657825,0.5195005678706505,51.9756817760188,4.74,90.3499984741211,60.7790641784668,85.3246240234375,77.27568523406983,90.18420827801879,85.39279138628785,True,0.054579095221946525,False,False,True
ASTS,🐂🔥,105.86000061035156,10.007271035519615,21.916386477019294,38.560207455615945,23.35120133627308,108.79684224330981,26.824007502344482,339.34427734836817,1.5180288748122304,74.49927551227495,3.24,122.08999633789062,23.06999969482422,84.19980003356933,75.70584981918336,100.13334818521326,56.936651891080686,False,0.5500311488272815,False,False,True
GLPI,🐂🤐,47.779998779296875,0.5894711143092105,1.1859329608577494,0.993441962297633,0.4826685760013477,15.54631325762681,9.327504274165257,10.569802725182234,0.7542635459312854,54.609211236467,6.54,49.01645278930664,40.66339111328125,46.77550003051758,45.00051025390625,48.61716369247639,46.57833649062908,True,0.04283452889948986,False,False,True
MFC,🐂,38.529998779296875,-1.3063579002827996,0.7847220524528363,-0.5420828344637106,8.731227800483026,14.928847693681707,7.381088487692019,24.687305203244133,0.630416878256528,50.06450533196496,5.82,40.029998779296875,29.604257583618164,37.11180023193359,34.51433799743652,40.56321923384339,37.2767809187445,False,0.08444086096239889,False,False,True
